order_id,customer_id,order_date,order_status,gross_amount,discount_amount,shipping_fee,net_amount,items_count
O00001,C0001,2025-10-17,completed,199.53,19.95,0,179.58,1
O00002,C0001,2025-12-12,completed,221.17,0.0,0,221.17,2
O00003,C0002,2024-05-01,completed,135.4,6.77,0,128.63,5
O00004,C0004,2025-09-08,completed,442.13,44.21,0,397.92,1
O00005,C0004,2025-11-07,completed,295.73,29.57,0,266.16,5
O00006,C0004,2025-12-09,completed,319.14,47.87,0,271.27,1
O00007,C0004,2026-02-17,completed,53.18,2.66,0,50.52,3
O00008,C0005,2024-12-16,returned,86.66,8.67,4.99,82.98,6
O00009,C0005,2025-03-13,completed,156.91,0.0,0,156.91,3
O00010,C0006,2025-02-08,completed,441.71,0.0,0,441.71,4
O00011,C0006,2025-02-27,completed,94.25,14.14,0,80.11,2
O00012,C0006,2025-04-09,cancelled,270.41,13.52,4.99,261.88,3
O00013,C0006,2025-05-24,completed,242.1,36.31,7.99,213.78,3
O00014,C0006,2025-06-22,completed,153.51,23.03,0,130.48,1
O00015,C0006,2025-07-29,completed,219.72,0.0,0,219.72,6
O00016,C0006,2025-08-29,completed,388.32,19.42,0,368.9,1
O00017,C0006,2025-09-24,completed,240.02,24.0,7.99,224.01,4
O00018,C0008,2025-09-30,completed,412.95,0.0,0,412.95,3
O00019,C0008,2026-01-08,returned,329.37,32.94,7.99,304.42,1
O00020,C0009,2024-09-09,completed,144.83,7.24,7.99,145.58,6
O00021,C0009,2024-09-28,completed,261.41,26.14,4.99,240.26,6
O00022,C0009,2024-11-11,completed,320.77,16.04,4.99,309.72,4
O00023,C0009,2024-12-26,cancelled,164.72,16.47,0,148.25,2
O00024,C0009,2025-01-13,cancelled,393.63,59.04,0,334.59,2
O00025,C0009,2025-02-02,completed,72.37,10.86,7.99,69.5,2
O00026,C0009,2025-02-21,returned,386.58,57.99,0,328.59,6
O00027,C0009,2025-03-31,completed,244.27,24.43,7.99,227.83,1
O00028,C0009,2025-05-12,cancelled,364.88,36.49,7.99,336.38,2
O00029,C0010,2025-04-15,completed,446.11,44.61,7.99,409.49,5
O00030,C0011,2025-12-14,completed,365.65,0.0,7.99,373.64,6
O00031,C0011,2026-02-19,completed,105.76,15.86,0,89.9,2
O00032,C0012,2025-02-09,completed,267.77,40.17,7.99,235.59,2
O00033,C0013,2024-03-05,completed,154.94,7.75,4.99,152.18,3
O00034,C0013,2024-03-30,completed,155.54,15.55,0,139.99,4
O00035,C0013,2024-04-25,completed,56.78,8.52,0,48.26,1
O00036,C0013,2024-05-30,completed,440.83,22.04,4.99,423.78,4
O00037,C0013,2024-06-26,returned,154.21,15.42,0,138.79,1
O00038,C0013,2024-07-21,completed,112.32,11.23,0,101.09,5
O00039,C0013,2024-08-17,returned,445.48,66.82,0,378.66,4
O00040,C0014,2024-08-24,completed,171.09,25.66,0,145.43,2
O00041,C0014,2024-11-02,completed,37.83,5.67,0,32.16,3
O00042,C0014,2024-12-27,completed,272.74,27.27,0,245.47,1
O00043,C0014,2025-02-22,completed,203.25,20.33,0,182.92,3
O00044,C0015,2025-11-09,returned,253.09,25.31,0,227.78,1
O00045,C0016,2025-07-20,completed,248.0,37.2,7.99,218.79,4
O00046,C0017,2024-05-23,cancelled,259.58,0.0,0,259.58,4
O00047,C0017,2024-07-19,completed,221.14,33.17,4.99,192.96,6
O00048,C0017,2024-09-09,completed,376.69,18.83,4.99,362.85,3
O00049,C0017,2024-11-22,completed,76.87,0.0,4.99,81.86,6
O00050,C0018,2024-06-14,completed,244.12,24.41,0,219.71,6
O00051,C0019,2025-05-08,cancelled,212.29,31.84,0,180.45,6
O00052,C0019,2025-06-04,returned,159.81,7.99,4.99,156.81,5
O00053,C0019,2025-06-30,completed,73.37,3.67,0,69.7,6
O00054,C0019,2025-07-19,cancelled,160.82,0.0,0,160.82,6
O00055,C0019,2025-08-23,completed,192.97,19.3,0,173.67,5
O00056,C0019,2025-09-28,completed,422.92,63.44,0,359.48,3
O00057,C0019,2025-11-08,completed,136.98,13.7,0,123.28,4
O00058,C0019,2025-12-01,completed,445.98,0.0,7.99,453.97,1
O00059,C0019,2026-01-08,completed,384.66,19.23,0,365.43,1
O00060,C0020,2024-05-13,completed,255.87,38.38,0,217.49,6
O00061,C0020,2024-06-29,completed,145.94,21.89,0,124.05,4
O00062,C0021,2024-01-07,completed,264.37,0.0,0,264.37,1
O00063,C0021,2024-03-02,returned,172.48,0.0,7.99,180.47,2
O00064,C0021,2024-04-25,cancelled,109.43,10.94,0,98.49,5
