payment_id,order_id,payment_date,payment_method,payment_status,amount,refunded_amount
P00001,O00001,2025-10-19,UPI,paid,179.58,0.0
P00002,O00002,2025-12-13,Wallet,paid,221.17,0.0
P00003,O00003,2024-05-03,UPI,paid,128.63,0.0
P00004,O00004,2025-09-10,UPI,paid,397.92,0.0
P00005,O00005,2025-11-09,UPI,paid,266.16,0.0
P00006,O00006,2025-12-12,Card,paid,271.27,0.0
P00007,O00007,2026-02-20,Wallet,paid,50.52,0.0
P00008,O00008,2024-12-19,NetBanking,refunded,82.98,82.98
P00009,O00009,2025-03-15,Wallet,paid,156.91,0.0
P00010,O00010,2025-02-10,UPI,paid,441.71,0.0
P00011,O00011,2025-03-01,NetBanking,paid,80.11,0.0
P00012,O00012,2025-04-09,UPI,failed,261.88,0.0
P00013,O00013,2025-05-27,UPI,paid,213.78,0.0
P00014,O00014,2025-06-25,UPI,paid,130.48,0.0
P00015,O00015,2025-07-29,NetBanking,paid,219.72,0.0
P00016,O00016,2025-08-30,UPI,paid,368.9,0.0
P00017,O00017,2025-09-25,Card,paid,224.01,0.0
P00018,O00018,2025-10-01,UPI,paid,412.95,0.0
P00019,O00019,2026-01-10,UPI,refunded,304.42,304.42
P00020,O00020,2024-09-09,Wallet,paid,145.58,0.0
P00021,O00021,2024-10-01,NetBanking,paid,240.26,0.0
P00022,O00022,2024-11-12,NetBanking,paid,309.72,0.0
P00023,O00023,2024-12-26,NetBanking,refunded,148.25,148.25
P00024,O00024,2025-01-15,UPI,refunded,334.59,334.59
P00025,O00025,2025-02-03,NetBanking,paid,69.5,0.0
P00026,O00026,2025-02-24,NetBanking,refunded,328.59,328.59
P00027,O00027,2025-04-01,Card,paid,227.83,0.0
P00028,O00028,2025-05-15,Card,failed,336.38,0.0
P00029,O00029,2025-04-18,NetBanking,paid,409.49,0.0
P00030,O00030,2025-12-15,Card,paid,373.64,0.0
P00031,O00031,2026-02-19,Card,paid,89.9,0.0
P00032,O00032,2025-02-12,NetBanking,paid,235.59,0.0
P00033,O00033,2024-03-07,NetBanking,paid,152.18,0.0
P00034,O00034,2024-04-01,Wallet,paid,139.99,0.0
P00035,O00035,2024-04-26,Card,paid,48.26,0.0
P00036,O00036,2024-06-02,UPI,paid,423.78,0.0
P00037,O00037,2024-06-26,UPI,partially_refunded,138.79,57.75
P00038,O00038,2024-07-21,NetBanking,paid,101.09,0.0
P00039,O00039,2024-08-17,NetBanking,refunded,378.66,378.66
P00040,O00040,2024-08-27,NetBanking,paid,145.43,0.0
P00041,O00041,2024-11-04,NetBanking,paid,32.16,0.0
P00042,O00042,2024-12-27,Wallet,paid,245.47,0.0
P00043,O00043,2025-02-24,UPI,paid,182.92,0.0
P00044,O00044,2025-11-10,UPI,refunded,227.78,227.78
