ticket_id,customer_id,order_id,created_at,issue_type,priority,resolution_hours,csat_score,ticket_status
T00001,C0001,O00001,2025-10-22,Payment Issue,Medium,25.4,4,resolved
T00002,C0001,O00001,2025-10-25,Account Help,Medium,26.3,5,resolved
T00003,C0001,O00002,2025-12-20,Refund Request,Low,6.2,5,resolved
T00004,C0005,O00008,2024-12-18,Refund Request,Medium,28.3,3,resolved
T00005,C0005,O00008,2024-12-25,Payment Issue,Low,8.0,4,resolved
T00006,C0006,O00012,2025-04-12,Refund Request,Medium,13.5,3,resolved
T00007,C0006,O00017,2025-10-04,Payment Issue,Medium,17.0,4,resolved
T00008,C0008,O00019,2026-01-18,Product Quality,Low,8.4,4,resolved
T00009,C0009,O00023,2025-01-02,Shipping Delay,Medium,11.1,3,resolved
T00010,C0009,O00024,2025-01-14,Refund Request,Medium,19.0,3,resolved
T00011,C0009,O00025,2025-02-03,Product Quality,High,54.3,3,resolved
T00012,C0009,O00026,2025-02-28,Shipping Delay,Medium,16.0,3,resolved
T00013,C0009,O00028,2025-05-22,Shipping Delay,Low,6.7,4,resolved
T00014,C0011,O00031,2026-03-01,Refund Request,Medium,12.5,4,resolved
T00015,C0013,O00033,2024-03-08,Refund Request,High,62.2,3,resolved
T00016,C0013,O00034,2024-04-09,Shipping Delay,Medium,14.0,4,resolved
T00017,C0013,O00034,2024-04-03,Shipping Delay,Low,11.1,4,resolved
T00018,C0013,O00037,2024-07-04,Payment Issue,High,20.0,4,resolved
T00019,C0013,O00039,2024-08-22,Refund Request,Low,3.9,4,resolved
T00020,C0014,O00043,2025-03-03,Shipping Delay,Medium,21.3,4,resolved
T00021,C0015,O00044,2025-11-17,Account Help,Medium,23.0,4,resolved
T00022,C0017,O00046,2024-05-30,Payment Issue,High,52.9,2,resolved
T00023,C0017,O00047,2024-07-20,Refund Request,Low,11.8,5,resolved
T00024,C0017,O00047,2024-07-26,Account Help,Medium,23.8,4,resolved
T00025,C0017,O00048,2024-09-11,Product Quality,High,66.0,3,resolved
T00026,C0019,O00051,2025-05-12,Refund Request,Low,7.4,3,resolved
T00027,C0019,O00052,2025-06-10,Shipping Delay,Low,2.8,4,resolved
T00028,C0019,O00053,2025-07-06,Payment Issue,Medium,18.5,5,resolved
T00029,C0019,O00054,2025-07-24,Payment Issue,Medium,13.3,3,resolved
T00030,C0019,O00055,2025-08-30,Refund Request,High,67.4,3,resolved
T00031,C0019,O00055,2025-09-01,Shipping Delay,High,58.0,3,resolved
T00032,C0019,O00057,2025-11-17,Shipping Delay,Medium,18.7,5,resolved
T00033,C0020,O00060,2024-05-15,Product Quality,High,67.1,3,resolved
T00034,C0020,O00060,2024-05-19,Product Quality,Low,8.2,4,resolved
T00035,C0021,O00063,2024-03-03,Shipping Delay,High,66.6,2,resolved
T00036,C0021,O00064,2024-05-04,Product Quality,Medium,26.7,3,resolved
T00037,C0022,O00065,2024-11-25,Shipping Delay,High,44.5,2,resolved
T00038,C0030,O00077,2024-06-18,Account Help,Low,5.1,4,resolved
T00039,C0030,O00078,2024-07-23,Payment Issue,Low,5.4,4,resolved
T00040,C0030,O00080,2024-09-27,Shipping Delay,Medium,16.6,5,resolved
T00041,C0032,O00085,2025-11-14,Account Help,Medium,18.9,5,resolved
T00042,C0032,O00085,2025-11-11,Payment Issue,Medium,11.7,5,resolved
T00043,C0037,O00089,2025-08-08,Refund Request,Low,10.4,3,resolved
T00044,C0037,O00091,2025-11-29,Payment Issue,High,61.0,2,resolved
T00045,C0038,O00092,2024-09-17,Payment Issue,Low,11.3,3,resolved
T00046,C0039,,2024-03-21,Account Help,Low,12.3,4,resolved
T00047,C0040,O00093,2025-04-25,Product Quality,Medium,8.2,4,resolved
T00048,C0040,O00095,2025-08-24,Product Quality,Medium,11.6,3,resolved
T00049,C0042,O00100,2024-03-21,Shipping Delay,Low,9.9,4,resolved
T00050,C0045,O00107,2024-03-08,Shipping Delay,High,35.3,3,resolved
T00051,C0045,O00108,2024-03-29,Refund Request,High,35.7,4,resolved
T00052,C0047,O00114,2025-01-22,Refund Request,Low,5.6,5,resolved
T00053,C0047,O00115,2025-02-18,Shipping Delay,Medium,29.3,4,resolved
T00054,C0047,O00115,2025-02-24,Product Quality,Low,11.9,4,resolved
T00055,C0047,O00116,2025-03-22,Shipping Delay,Low,6.0,5,resolved
T00056,C0048,O00120,2025-12-01,Refund Request,Medium,25.5,3,resolved
T00057,C0049,O00122,2024-12-28,Shipping Delay,High,67.5,2,resolved
T00058,C0050,O00123,2025-07-17,Shipping Delay,Low,2.6,4,resolved
T00059,C0050,O00124,2025-09-05,Shipping Delay,Medium,11.1,3,resolved
T00060,C0051,O00127,2025-08-06,Payment Issue,Medium,22.1,4,resolved
